"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"maker-tig00000098_pilon-exonerate_protein2genome-gene-4.44-mRNA-1:2",1514.68018214731,-7.80594554482587,1.86931091213959,-4.17584121193156,2.96886868477683e-05,0.0445107637565166
"maker-tig00000325_pilon-exonerate_protein2genome-gene-0.31-mRNA-1:2",145.770961701937,-9.72038535322003,2.28190464623055,-4.25976842164594,2.04638813454065e-05,0.0409072988094676
"maker-tig00002557_pilon-exonerate_protein2genome-gene-2.1-mRNA-1:1",706.069430274668,-11.9952100088907,2.30034975766607,-5.21451573566841,1.84298058816124e-07,0.0011052354587203
"maker-tig00002572_pilon-exonerate_protein2genome-gene-3.34-mRNA-1:1",1567.46129606641,11.5538524694156,2.27618742119329,5.07596710263802,3.8552999789599e-07,0.00115601169869113
